"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2095-2100","Medium","12.133"
"Afghanistan","2090-2095","Medium","13.109"
"Afghanistan","2085-2090","Medium","14.154"
"Afghanistan","2080-2085","Medium","15.389"
"Afghanistan","2075-2080","Medium","16.669"
"Afghanistan","2070-2075","Medium","18.141"
"Afghanistan","2065-2070","Medium","19.831"
"Afghanistan","2060-2065","Medium","21.819"
"Afghanistan","2055-2060","Medium","23.926"
"Afghanistan","2050-2055","Medium","26.405"
"Afghanistan","2045-2050","Medium","29.288"
"Afghanistan","2040-2045","Medium","32.537"
"Afghanistan","2035-2040","Medium","36.745"
"Afghanistan","2030-2035","Medium","41.891"
"Afghanistan","2025-2030","Medium","48.4"
"Afghanistan","2020-2025","Medium","56.874"
"Afghanistan","2015-2020","Medium","67.868"
"Afghanistan","2010-2015","Medium","81.042"
"Afghanistan","2005-2010","Medium","100.008"
"Afghanistan","2000-2005","Medium","119.645"
"Afghanistan","1995-2000","Medium","137.856"
"Afghanistan","1990-1995","Medium","160.542"
"Afghanistan","1985-1990","Medium","191.302"
"Afghanistan","1980-1985","Medium","224.651"
"Afghanistan","1975-1980","Medium","256.962"
"Afghanistan","1970-1975","Medium","286.63"
"Afghanistan","1965-1970","Medium","314.708"
"Afghanistan","1960-1965","Medium","341.957"
"Afghanistan","1955-1960","Medium","374.138"
"Afghanistan","1950-1955","Medium","405.09"
"Africa","2095-2100","Medium","17.965"
"Africa","2090-2095","Medium","18.994"
"Africa","2085-2090","Medium","20.108"
"Africa","2080-2085","Medium","21.367"
"Africa","2075-2080","Medium","22.779"
"Africa","2070-2075","Medium","24.366"
"Africa","2065-2070","Medium","26.153"
"Africa","2060-2065","Medium","28.224"
"Africa","2055-2060","Medium","30.578"
"Africa","2050-2055","Medium","33.28"
"Africa","2045-2050","Medium","36.409"
"Africa","2040-2045","Medium","40.134"
"Africa","2035-2040","Medium","44.53"
"Africa","2030-2035","Medium","49.716"
"Africa","2025-2030","Medium","55.683"
"Africa","2020-2025","Medium","62.559"
"Africa","2015-2020","Medium","71.074"
"Africa","2010-2015","Medium","84.407"
"Africa","2005-2010","Medium","104.749"
"Africa","2000-2005","Medium","129.729"
"Africa","1995-2000","Medium","151.25"
"Africa","1990-1995","Medium","165.936"
"Africa","1985-1990","Medium","169.669"
"Africa","1980-1985","Medium","182.029"
"Africa","1975-1980","Medium","199.587"
"Africa","1970-1975","Medium","220.22"
"Africa","1965-1970","Medium","238.623"
"Africa","1960-1965","Medium","258.513"
"Africa","1955-1960","Medium","282.897"
"Africa","1950-1955","Medium","310.751"
"Albania","2095-2100","Medium","2.718"
"Albania","2090-2095","Medium","2.883"
"Albania","2085-2090","Medium","3.06"
"Albania","2080-2085","Medium","3.246"
"Albania","2075-2080","Medium","3.459"
"Albania","2070-2075","Medium","3.695"
"Albania","2065-2070","Medium","3.961"
"Albania","2060-2065","Medium","4.261"
"Albania","2055-2060","Medium","4.599"
"Albania","2050-2055","Medium","4.995"
"Albania","2045-2050","Medium","5.536"
"Albania","2040-2045","Medium","6.177"
"Albania","2035-2040","Medium","6.911"
"Albania","2030-2035","Medium","7.768"
"Albania","2025-2030","Medium","9.031"
"Albania","2020-2025","Medium","10.265"
"Albania","2015-2020","Medium","11.369"
"Albania","2010-2015","Medium","13.104"
"Albania","2005-2010","Medium","18.721"
"Albania","2000-2005","Medium","25.647"
"Albania","1995-2000","Medium","30.864"
"Albania","1990-1995","Medium","37.087"
"Albania","1985-1990","Medium","45.678"
"Albania","1980-1985","Medium","52.521"
"Albania","1975-1980","Medium","57.679"
"Albania","1970-1975","Medium","72.772"
"Albania","1965-1970","Medium","98.91"
"Albania","1960-1965","Medium","129.566"
"Albania","1955-1960","Medium","165.843"
"Albania","1950-1955","Medium","193.942"
"Algeria","2095-2100","Medium","3.979"
"Algeria","2090-2095","Medium","4.315"
"Algeria","2085-2090","Medium","4.69"
"Algeria","2080-2085","Medium","5.102"
"Algeria","2075-2080","Medium","5.548"
"Algeria","2070-2075","Medium","6.075"
"Algeria","2065-2070","Medium","6.716"
"Algeria","2060-2065","Medium","7.469"
"Algeria","2055-2060","Medium","8.375"
"Algeria","2050-2055","Medium","9.443"
"Algeria","2045-2050","Medium","10.709"
"Algeria","2040-2045","Medium","12.191"
"Algeria","2035-2040","Medium","13.928"
"Algeria","2030-2035","Medium","15.987"
"Algeria","2025-2030","Medium","18.431"
"Algeria","2020-2025","Medium","21.413"
"Algeria","2015-2020","Medium","24.663"
"Algeria","2010-2015","Medium","28.881"
"Algeria","2005-2010","Medium","34.397"
"Algeria","2000-2005","Medium","40.836"
"Algeria","1995-2000","Medium","47.245"
"Algeria","1990-1995","Medium","54.356"
"Algeria","1985-1990","Medium","71.479"
"Algeria","1980-1985","Medium","103.452"
"Algeria","1975-1980","Medium","156.613"
"Algeria","1970-1975","Medium","188.135"
"Algeria","1965-1970","Medium","208.669"
"Algeria","1960-1965","Medium","230.988"
"Algeria","1955-1960","Medium","254.925"
"Algeria","1950-1955","Medium","278.124"
"American Samoa","2095-2100","Medium",""
"American Samoa","2090-2095","Medium",""
"American Samoa","2085-2090","Medium",""
"American Samoa","2080-2085","Medium",""
"American Samoa","2075-2080","Medium",""
"American Samoa","2070-2075","Medium",""
"American Samoa","2065-2070","Medium",""
